Name,Title,Reviews,Rating,Date of Experience
Joanne Watts,Misled,"I looked up lastminute.com with sky scanner and this deal seemed the best price. On looking at luggage allowance I had 1x small bag and 1x cabin bag of 8kg both ways. Out from Gatwick with BA and back from Venice Marco Polo with Wizz air. Took a screenshot of deal but when it finally came to my confirmation with L minute.com NO cabin bag for Wizzair. Not impressed as I paid basic price with no amendments so had to book a 10kg cabin directly with Wizz and you can only do that if you pay for a priority pass at 30+ quid. Not Wizz’s fault, certainly NOT mine, and I’m furious at being misled.Please could you refer this to somebody who can give me an explanation and some form of compensation as it’s made my flights way more expensive and I could have gone with another company offering what turns out to be a better deal. V.unhappy Jo Watts. ( still have those screenshots as proof)",Rated 2 out of 5 stars,16 May 2023
customer,Passengers keen to be prompt and on…,"Passengers keen to be prompt and on board for the flight out and back, therefore the flight was ready to leave on time if not a bit before.Disappointed that I was charged for luggage in the hold by Norwegian air despite the flight not being full. Overhead locker with fin.air for same suitcase, no charge, and the flight was full",Rated 5 out of 5 stars,18 May 2023
Clark,LM Won't Get My Refund.,"My flight was cancelled they offered me a refund which i took but they said it might take 2 months for the airline to pay them first. I phoned the airline and they said they would happily refund me directly immediately, unfortunately it needs to go vis the agent, and LastMinute hadn't even asked for my refund yet. Almost 3 months later, no refund. No named person has contacted me, and they told me to go get the refund myself. Absolute disgrace of a company.",Rated 1 out of 5 stars,22 May 2023
Kieran Adams,Go direct,"Go direct, the extra luggage was half the cost if I went through the airline it’s self ridiculous how you mark up your prices!! At every step I was offered extra fees which I feel should have been included for example amending names on the ticket and cancellations. Wouldn’t use this service again in the future.",Rated 1 out of 5 stars,18 May 2023
David,Hopeless travel arrangements,"The hotel booking was fine: the travel arrangements were hopeless.  Having paid the final instalment on the break I expected that would give me access to the airline website to check in and pick seats.  Not a bit of it.  ""Pay another £5 each and let us deal with it.""  Paid up and (seemingly) no further forward.  Not until 21 hours before flight departure did boarding cards arrive (an anxious wait of several days) and then find my wife & I seated in separate parts of the aircraft: indeed, 14 rows apart on the way back!  Hopeless.  The first & last time I will use lastminute!!",Rated 1 out of 5 stars,17 May 2023
GYA ALYOUSEFI,They have no means of communication…,"They have no means of communication other than chatting, as if they are afraid of the customer interface.  We just want to inquire about a service, and we couldn't find a way to contact them",Rated 2 out of 5 stars,24 May 2023
Mr L,Unbelievable,"Unbelievable, just got boarding passes through to find out my WIFE and i are several rows apart. I then go on the live chat to have someone from lastminute ask if i have proof we booked seats together. There was no mention the airline ( Ryanair ) would not seat 2 people on the same booking next to one another. We were sure we chose the rows we would like to be seated. Won't be booking with this lot again and we ain't even started our holiday yet!!!",Rated 1 out of 5 stars,21 May 2023
Joe,Got a decent deal,"Got a decent deal, app was easy enough to use.The check in process could be better as I ended up also downloading the airline app and using the randomly generated email that lastminute.com used to book my flight",Rated 4 out of 5 stars,18 May 2023
Joel Dolman,Never use this company!,"Never use this company!They changed my flight dates on a flight with return from Berlin to Tokyo, I did not accept the change and opted for the refund as all the dates had changed.I have now been waiting over 6 months for the refund, customer support is useless and repeats the same robotic info, I will never use last minute again!2000 euros they have robbed from me",Rated 1 out of 5 stars,24 March 2023
Brian Cave,Booking flights made easy,"Easy to book and everything went well. The web page was easy to follow, instructions to collect tickets were clear and the Airline had everything to issue the boarding pass",Rated 5 out of 5 stars,19 May 2023
Roz ,Beautiful y situated hotel,We really enjoyed our visit and wish we could have stayed longer.  The hotel and its staff were excellent.  It was beautifully situated for visiting all the classic sights.It’s a shame the roof terrace wasn’t a little more user friendly and that the garden wasn’t made accessible.We found the signage at Pisa station a little confusing but one we worked out the front exit it was plain sailing.,Rated 4 out of 5 stars,15 May 2023
Joanne ,Booked for daughter and a friend then…,"Booked for daughter and a friend then typically the friend ended up cancelling , I could not get hold of anyone to speak to so I cancelled the booking on line the same day . Tried in the morning to speak to someone ,again it was a chat function . I want to know if I can’t cancel and get a refund can I just cancel the hotel and keep the flights but keep being told no I will get an email telling me what extra I need to pay. They basically won’t reinstate the flights but I am expected to pay for it and I can’t talk to any human person to try and get to the bottom of it . I am now waiting for the illusive email with dread as to what to do next . I admit to me making the error to start with and I should prob not have cancelled but as I could not get hold of anyone I thought it would be better this way as seen as it was only booked that day .",Rated 1 out of 5 stars,23 May 2023
Paige,Very poor experience,"Very poor experience! I received an email confirming my flights had been cancelled, spoke to an advisor who was highly unhelpful and confirmed the flight was definitely cancelled and could take ‘weeks’ to find an alternative flight or ‘months’ to process a refund. After numerous calls back and forth i requested a refund due to the lack of help/support! Later that day i was told by another advisor that if the flight was going ahead i could reopen my booking. Less than an hour later i spoke to the airline, went through verification etc. to find out the flight was scheduled and was NOT cancelled. I then called lastminute.com back to be greeted by another unhelpful advisor who confirmed my booking could not be reopened and proceeded to talk over me when i explained what i had been told. I have now been waiting numerous days for a response since raising a complaint and the refund isnt even offering my full money back so i am now in limbo and have no idea if the booking can be reopened/if they can send me my FULL money back asap so i can book elsewhere!",Rated 1 out of 5 stars,19 May 2023
Connor,Excellent for what it’s worth,"For what it’s worth, excellent! Stayed with my partner (late 20s) for 7 days early-mid may. Everything you need in walking distance, bus station, taxi rank, beach and bars. Lidl just down the road we did a small weekly shop, roughly same prices to Uk. Kitchen appliances are decent for meals, coat hangers are supplied. Rolled in at 11.45am from amnesia party, easy like a Sunday morning. Would recommend Eden on a Friday (defected) only round the corner. Sunset strip offers free tickets for low-selling events. Would definitely use again, budget rooms but why come to Ibiza, tosit in the hotel.",Rated 5 out of 5 stars,24 December 2022
Rehana,Useful but not for all flight types,"Decent experience, though it was a bit of a hassle with a codeshare flight between 2 airlines. Communication and booking management was difficult and had to be done on 3 different platforms. Would only recommend for cheap tickets and short flights.",Rated 4 out of 5 stars,16 May 2023
Linford Murray,I got charged by Ryanair 110 pounds…,I got charged by Ryanair 110 pounds because I couldn’t download the bording the app was not working then I got charged 99€ for drinking the drinks in my fridge as I thought they was free !,Rated 3 out of 5 stars,13 May 2023
Karen,Customer service was awful when we had…,Customer service was awful when we had a problem with our boarding passes at the airport and could not check in online. So had to pay a hefty fee to get a boarding pass. So beware hidden costs on cheaper airlines used by lastminute.com. would be nice to talk to an actual person but it all seems to be over email and they don't read them properly or answer your complaint at all.,Rated 1 out of 5 stars,10 May 2023
Oliver Toronya,Very disappointed,"Few hours after I talked with an agent about my booking, who said everything is ok and confirmed, they cancelled my trip due to technical anomaly. I'm very disappointed. The cost of the trip went up a lot obviously, if I wanted to book again. They also took my money from my bank account, which will be refunded (hopefully) by the time I should be already on my Holiday. Ridiculous.",Rated 1 out of 5 stars,19 May 2023
customer,Thank you so much,Thank you so much. This hotel saved our whole holiday. A beautiful clean room with a wonderful shower. A gorgeous location too. I wish we could have stayed longer. Thank you for helping us!,Rated 5 out of 5 stars,18 May 2023
Lars Karlsson,I cancelled my charter trip within 5…,I cancelled my charter trip within 5 business days after my initial booking and not getting full refund. Instead Im loosing about 1000£. This can't be right...I'm very very sad and frustrated.,Rated 1 out of 5 stars,22 May 2023
Alice,Wouldn’t recommend,"Wouldn’t recommend. Especially their taxi service to and from the airport of your destination. Very unreliable & expensive. First taxi didn’t pick us up so we had to pay for a new taxi & the taxi on way to the airport at the end of our trip was traumatic. Lady couldn’t speak a work do English, and didn’t even know where we were going. We actually thought we were going to crash several times and she dropped us to the wrong terminal which we then had to get a bus on the motorway to our correct terminal. You’re better off booking your flight and hotel separately it will be cheaper. I wouldn’t recommend.",Rated 2 out of 5 stars,15 May 2023
Dominique Willson,Easy booking process,"I found the process easy, self explanatory and user friendly. Most importantly, all my needs were able to be captured in one app, such as flights, accommodation, halfboard (if required), car hire, shuttle service, etc. Even better, is the system of being able to spread the holiday payments!! This means more holidays! ❤️",Rated 5 out of 5 stars,15 May 2023
Chloe,Avoid booking holidays with this company at all costs,I booked a hotel and flight with last minute.com for a direct flight from Edinburgh to Budapest for a 3 day short holiday for my mum’s 60th Birthday. Only a month later on 10th May I received an email advising my flight to Budapest was cancelled. Since then I have been offered  numerous alternative flights - these were either a 13 hour stop hour in Germany or the following day at night. Instead of a 3 night trip with the best part of 4 days our trip has now been cut down to 2 days with the added stress of 4 flights instead of 2. I booked these specific dates as I am restricted on the the dates I can take off work so had asked if I can move the holiday as this isn’t my fault and the alternatives were ridiculous. If I wanted to move to a new date I had would be subject to the difference in holiday/handling and hotel cancellation fees which is absurd. The outcomes are then I can either cancel the holiday or go on those flights. I’ve spoken to around 15 members of staff in the 2 weeks since and asked several times for this to be resolved or escalated to management and it’s fallen on deaf ears so I’ve had no choice but to resort to the internet in the hope I can still save my mums birthday present.,Rated 1 out of 5 stars,23 May 2023
Beverley,Honest and True review,"Upon arrival at apartments, I gave my surname, ref & booking.com.   Booking not found, very rude hotel staff told me to go away and find correct hotel.   I was trying to show my booking on phone, she wouldn't give me wifi.  Sorted my phone out on 4G went back in and gave her the booking code off my phone,  booking was found under my first name and hotelbeds?  Who are they?   Very upsetting and stressful. You get a leaflet on arrival saying you are living amongst the community and to keep everything with you in case of robberies.   When a bad incident happened mid week, it was outstide recep hours and I was scared.  Reception didnt care, she said I could have rung the police!!.  You also have to clean the apartments yourself on departure,  they dont clean. You dont go on holiday to clean. Think you should seriously consider removing these apartments from your website.   Read the reviews on trip advisor, they're all true.I have been trying to amend my September booking  due to my bad experience but I can't afford more money.",Rated 2 out of 5 stars,05 May 2023
Alison,Trying to get a refund for a holiday…,Trying to get a refund for a holiday that has been made unviable due to Ryanair cancelling an outbound flight? Have had to book elsewhere because of this. Only offered vouchers or about a quarter of initial cost as a card refund???  Not good enough.,Rated 1 out of 5 stars,15 May 2023
Kasra Garakoui,ALERT ALERT: NEVER BUY TICKETS FROM THIS COMPANY!!!!!!,"After you pay the ticket price to them they will be out of reach. They don't do their duties and their online agents give misguiding answers. So this is an alert message: DON'T BUY ANYTHING FROM THEM. NEVER EVER. The price that I paid for this lesson was 1200 euroI cancelled a flight that I am sure I checked ""refundable"". After cancellation they told me it was not ""refundable"". I am sure that I chose the refundable one. I saw several reports like mine about this company. THEY ARE NOT TRUSTABLE AT ALL!!!",Rated 1 out of 5 stars,22 May 2023
Lucy,Thank you to lastminute Agents online,"Like a fool, I resisted signing on to My lastminute.com. Too many keyboards, so many passwords, so little time. There was an issue with my card payment. Couldn't get through to either my bank or lastminute by phone.So I signed into My lastminute.com and got it all sorted via chatbot. Marvellous.",Rated 5 out of 5 stars,20 May 2023
jeff brown,A lovely clean guest house with very…,A lovely clean guest house with very friendly staff the room was very nice although a little on the small side not as the picture shows on site.,Rated 4 out of 5 stars,15 May 2023
Ani Duka,misleading info,stated that car rental pick up was within airport instead it was outside airport boundaries requiring extra cost to reach. they promised to refund the costs but never heard back from them. if its too good to be true its too good to be true. not reccomended,Rated 1 out of 5 stars,05 May 2023
Eileen Docherty,We havent been yet BUT we are trying to…,We havent been yet BUT we are trying to put luggage onto aircraft and JetBlue are saying last minute .com should do it and they are saying it’s JetBlue It will cost a lot of money at the airport ???,Rated 1 out of 5 stars,18 May 2023
Pauline Barham,The Ibis Hotel was way under their…,"The Ibis Hotel was way under their normal standards. Although the public areas were fine our room was pokey to say the least. Also it was very shabby, the curtains had wear holes in them, all the paintwork was peeling and chipped, there was only one accessible plug which was on the floor. No hot drink making facility. The shower room was tiny, same shabby state, only 1shower towel each, no hand towels. Fortunately our bed was clean and comfy but only one pillow each. This is not to mention the 104 steps you need to get up to access the hotel, only alternative was a steep slope. Or the very rough area it’s in which felt dangerous. Very disappointing as we have stayed in Ibis before in France, always very nice.",Rated 2 out of 5 stars,14 May 2023
Ben Popoola,Everything great apart from the ”shuttle” service,"I liked the shuttle transportation (air-conditioned car) on the way to the hotel and the hotel itself. However, I was a little bit disappointed with the transportation to the airport on the way back, which  I can only describe as an outdated mini van.Given that the shuttle service cost quite a lot of money I would  book again, but maybe without the shuttle service.",Rated 3 out of 5 stars,14 May 2023
Hariati Hani,The flight rate we received at lastminute.com for LON-MILAN was superb,"The flight rate we received at Lastminute.com was the cheapest for the travel from London to Milan and it was truly hassle free.  Our group of 6 - a family with 4 kids my children are from 24-10 years of age.  We each had a cabin bag of 8kg allowance each and connecting from  Saudi Arabia international flight transit.  This ITA flight was amazing.  Leather / pleather seats, Recaro fittings for the serving trays, comfortable seats and airside transfer to the gate was smooth.  Recommended!",Rated 5 out of 5 stars,09 May 2023
Jutta,Customer service refused to help,"Due the robbery I wasn’t capable of acsessing our boarding passes for returning filght in my email. In first check in there has been auto created email for reservation, which I obviously didn’t remember by heart. There for your customer service refused to help me to get us to our flight and se needed to buy new flights. Customer service was only available in chat with vety poor English and by calling to Germany where you can’t get through from multiple questions without understaning the language. Absolutely terrible customer experience.",Rated 1 out of 5 stars,13 May 2023
Darren Smith,Awful,"Awful, takes payment but don't confirm booking. Now they have said they can't honour the booking the other flights have gone up. Never again and its impossible to soeak to an actual person.  Avoid",Rated 1 out of 5 stars,19 May 2023
Beverly Dyer,Horrendous customer service. Don’t touch them – will ruin your holiday experience.,Unbelievable customer service incompetence. I’ve been trying to add one day to my holiday and been waiting a month and still no further forward. I have spent so much wasted time on this and they still don’t get it. They have lied about trying to call me – I get a call answer it and there’s no one there.  The number on their website doesn’t work it cuts off.  they’re trying to overcharge me for changing the room - I had the package where there are no costs for any handling fees. They’re trying to overcharge me for the flight. The flight is half the price of the one I had previously booked. Plus I spoke to the airline and they don’t charge for changing flights-total rip-off. Total incompetence.,Rated 1 out of 5 stars,20 May 2023
Celeste Robillard,Flights+Hotel London to Vilnius,"We had a great experience on our flights+hotel trip from London Luton to Vilnius. We spend an amazing long weekend away and the Radisson Blu Hotel did not disappoint. We were even offered an upgrade for a very cheap price when we arrived.The flights went fine, Wizzair was really good, Ryanair was Ryanair, you know what you pay for and it's one of the worst companies hence why it's so cheap. The flight was delayed but we managed to get home and that's what matters. I'm already looking forward to our next trip!",Rated 5 out of 5 stars,05 May 2023
Mr Graeme Collings,Perfect Paris,"The location of our accommodation was perfect, 2 minutes from the Metro and 10 from the Arc de triumph. Transfers were excellent right on time. Paris is right up there with my global favourites.",Rated 5 out of 5 stars,15 May 2023
Radhika,I have booked via last-minute and the…,I have booked via last-minute and the journey was smooth as expected. The rate was less compared to other websites. I didn't face anything bad as I have booked my travel via lastminute. I would recommend everyone to use this website for better deals,Rated 5 out of 5 stars,14 May 2023
James,The accommodation was good other aspects messy,The accommodation was good. I found that it was best to use the phone App because logging into the website and linking to the airlines website was messy. Using one airline out and the other back made it more time consuming to check the baggage allowances.,Rated 4 out of 5 stars,14 May 2023
Mr John Warburton,Great small and friendly hotel,"Great small and friendly hotel. Great service from ToniBedrooms kept clean with regular towel changes.Unfortunately, occasional drainage pong which wasn't everyday",Rated 4 out of 5 stars,16 May 2023
Sharon B,As always great service.,As always great service.Always compare prices elsewhere and Lastminute.com is hard to beat.Ebay booking and no problems with any holiday booked through them.,Rated 5 out of 5 stars,14 May 2023
Tina2010,First trip to Benidorm,"Hotel was rated 4star when we got there it was a 3 star,it was basic but very clean,and friendly staff,will stay there again.Flights were both on time ,private transfer was excellent too.Will definitely book with you again.",Rated 5 out of 5 stars,17 May 2023
Joseph,Cowboys,"Cowboys. I haven't used LastMinute.com for a few years. Thought I'd book a trip with them as they had the free cancellation offer. Utter poppycock. They charge a £35 admin fee per person per cancellation and don't cancel the flights.Use someone else everyone, plenty of alternatives out there.",Rated 1 out of 5 stars,07 June 2022
Russ,Frustration,"My ID reference and email isn’t recognising, no phone number to get hold of anyone.I booked half board and my booking is saying room only.Can’t get hold of anyone to speak to about it.Will not be using this company again",Rated 1 out of 5 stars,16 May 2023
Russell,Refused legitimate cashback,"Booked a hotel stay with Lastminute.com via TopCashback. Complied with all the cashback requirements but purchase did not track and Lastminute.com refused to pay the cashback as they said a voucher code had been used. I hadn't used a voucher code, so will not be using Lastminute.com again, not really a problem as they are rarely cheaper than the other hotel booking sites.",Rated 1 out of 5 stars,17 May 2023
Lily ,Overall Difficult Experience,"I only booked here only because I had a refund voucher after flights being continuously cancelled from a previous trip.They allocated the voucher incorrectly,  so it took me hours of sitting on phone with a useless advisor, who just kepntrying to upsell me, to get it fixed",Rated 2 out of 5 stars,15 May 2023
customer,Cannot speak to a human to reschedule,"I needed to reschedule my flight with Air Asia. Neither Lastminute or Air Asia have a manned call centre to contact and therefore I had to try to communicate with chatbots, each of which referred me to the other company.  I spent about 2 hours trying to reschedule and failed.  I had to forfeit my flight and book again at additional cost.  Probably the worst customer experience that I have ever had.  I will not use either Lastminute or Air Asia again and would sooner pay a little more and get better service.  Very disappointing!",Rated 1 out of 5 stars,11 May 2023
Sonja Merkas,Contact by chat,They have reacted immediately on the chat request and provided clear feedback. I have contacted them once for the confirmation of the flight and once for the cancellation of the flight.,Rated 5 out of 5 stars,22 May 2023
Keith Blackshire,Great Hotel,"Great Hotel, transfers were a little dodgy as the guy on the way back was on his phone, going too fast and almost crashed once..also annoying that you can't check in for your flights via the app but otherwise all was very good",Rated 4 out of 5 stars,13 May 2023
Richard Murphy,To be honest I won’t use sky skanner…,"To be honest I won’t use sky skanner again. I’ve booked it with them using lastminute.com and all I keep getting are emails from Ryan air saying “you have used a third party that has no right to sell our flights” and now I’ve got a load of issues with confirming who I am. If I’d have known waht a pain this would be I would have booked direct with Ryan air. If you have no right to sell their flights as they say, why are u selling their flights. Really annoying 😡😡😡😡😡",Rated 1 out of 5 stars,15 May 2023
P. Calderon,Awful company,"Awful company. I booked a flight with this company, and by the time I did my check in my flight was massively changed in the schedule, I was going to fly at 9am and my ticket said 5pm, and I had a connecting flight at 4.35pm. So, I had to buy another ticket which was super expensive. I send this to the last minute customer service and they don’t even care. This is clearly a companies mistake, the are selling flights that doesn’t exist.",Rated 1 out of 5 stars,15 May 2023
MUHAMMAD Farhan,Worst features of flight booking…,"Worst features of flight booking…They don’t have enough highlighting/alerts feature to show that the airport is different for return flight. I was booking a return ticket for 4 people and couldn’t understand the airport was different for the returning flight.  I made a mistake for booking and tried to contact straight after making the payment. Online booking was showing that tickets are not confirmed yet. But your phone line was just asking me to contact by online chat. Also, the online chat was showing auto messages that the booking has been received and I’ll receive confirmation by email. (I don’t know, how much more I’ll have to pay now.",Rated 1 out of 5 stars,16 May 2023
Sheila Finch,Found a great hotel through…,Found a great hotel through lastminute.com Booking confirmation didn't say much to be honest and was surprised to find breakfast was included with the room,Rated 4 out of 5 stars,15 May 2023
Jane Kelly,Shocking customer service.,Shocking customer service.Have booking for 3 night city break from 3 June. Received email today stating that outbound flight schedule has changed and alternative they are offering will now involve a 14+ hour stop over in Munich (overnight with no accommodation) and arrival 25+ hours late at destination meaning we lose 1 night in booked hotel. Refusing to give a refund as say they don’t deem change significant as flight not delayed by more than 12 hours. Won’t allow us to change to alternative package/destination either. Both options should be available according to their terms and conditions but they’re saying they don’t apply department doesn’t view changes as significant. Packages still on offer on their website for same location - be aware !Will not use this company again.,Rated 1 out of 5 stars,16 May 2023
Dawn Fogg,The hotel was lovely it was in the…,The hotel was lovely it was in the perfect spot flights had abit of delay but all was good Budapest I would recommend a beautiful place,Rated 5 out of 5 stars,11 May 2023
Rhys Schell,Wish I could give them 0.,"Wish I could give them 0. Appalling service from the start. I'm still awaiting my refund from a flight they cancelled over 3 months ago. Genuinely too many awful things to go through, but the Live Chat is a waste of time, with the phone 'support' just as bad. They may be cheap but avoid at all costs.",Rated 1 out of 5 stars,21 May 2023
Rachelle,AVOID,"I have been asking for a breakdown of costs for my trip for over a month now & lastminute.com have not provided it to me citing they are busy. I’m need to make an insurance claim & their actions have denied this. As a PR professional, I’ll be going to the press & trading standards about this. AVOID at all costs, there are much better service providers!",Rated 1 out of 5 stars,17 May 2023
Fiona,Ot great impossible to speak to someone…,"Ot great impossible to speak to someone no where on the booking to pick your flight seats, live chat is automated so pretty poor.",Rated 2 out of 5 stars,18 May 2023
Marian Moldovan,THIEVES!!,THIEVES!!! DO NOT EVER TRY TO BUY HOLIDAY FROM THEM!! BIG LIARS THAT PROMISE YOU TO HELP YOU AND AND YOU ARE ENTITLED TO FREE CANCELLATION JUST FOR THEM TO HIDE THEIR FEES IN TERMS&CONDITIONS. HOLIDAY ADVERTISED AS FREE CANCELLATION,Rated 1 out of 5 stars,01 May 2023
Neil,Left me almost stranded,"On my return journey home, my flight out of Frankfurt was delayed which meant very likely missing a connecting flight in Amsterdam.  The airline KLM refused to help as it was booked through Lastminute, so I had to contact them.  This is where things fell apart.  My phone, for reasons that aren't Lastminute's fault, wouldn't call UK numbers from abroad... but I should have alternate ways to contact Lastminute however this was made impossible.  There was absolutely no way to contact them to try and arrange an alternative flight.  Even suffering through their intolerable auto-chat bot refused to assist me as my email address ends in .group, so even though they accepted my email address when making the booking, their chat bot accused me of entering an invalid email address whilst trying to validate my booking which cut off that channel of communication.  So I couldn't call them, couldn't communicate over that chat, I was totally stuck and helpless.  Facing missing my connecting flight with zero way of contacting the agent was one of the most frustrating and angering situations I've been through in a long time, and one that will ensure I never book through a third party agency again.",Rated 1 out of 5 stars,15 May 2023
Sarah-Jane Unwin,We had a fantastic break away,We had a fantastic break away - hotel was lovely with great service and location and transfers were great too!,Rated 5 out of 5 stars,11 May 2023
Kevin Whitman,Great one stop travel shop,Have used these guys several times over the years and always found them very competitive. Simple app process more recently makes the whole one stop shop experience a breeze. Please keep up the good work.,Rated 5 out of 5 stars,14 May 2023
Chris Eccles,Brilliant holiday in Prague.,Brilliant from start to finish the ease of booking the holiday to the check in at the hotel will definitely be booking with lastminute.com again.,Rated 5 out of 5 stars,15 May 2023
Ken R Day,Confused,"Bit confused, never checked in online before.Not sure how i get Boarding Card + Seating etc.I am sure it is probably a simple task however i willrequest advise from a friend as to the pricedure.",Rated 4 out of 5 stars,14 May 2023
Cristino Camero,Found it really easy and the fact I was…,Found it really easy and the fact I was given better deal than any other sites I compared with. Absolutely 5 star and I am really pleased with the deal I got. Fantastic!,Rated 5 out of 5 stars,18 May 2023
Emily,Appalling customer service,Appalling customer service. Gave easyJet the incorrect titles for both passengers and then argued that it wasn't an issue - which it clearly is. Nikolin was very rude and sarcastic and would not let me speak to a manager despite asking numerous times. I will not be using this company again.,Rated 1 out of 5 stars,15 May 2023
Kerry K ,Highly recommended,I have now had four successful trips booked via lastminute.com - all without issue. They will be my first go-to website for all future bookings and I highly recommend them.,Rated 5 out of 5 stars,13 May 2023
Susan Lapping,Lack of customer service,I need to contact customer service. The online chat says I need to call. When I call I get sent a link to the online chat and the call is ended. So I have been unable to resolve my issue. Very frustrating. I will never use last minute.com again.,Rated 1 out of 5 stars,18 May 2023
John FR,LastMinute.com debited my CC over £2k,LastMinute.com debited my CC over £2k. I have no idea what this is for and is certainly nothing to do with me. I do not remember ever using them. SOME TYPE OF SCAM with my bank looking into possible fraud. lastminute would not speak to me because I was talking from a phone not used for a booking and did not have a booking reference. FRAUD/SCAM,Rated 1 out of 5 stars,02 May 2023
Ray,It would be helpful if a link to map of…,It would be helpful if a link to map of hotels location was included on first window,Rated 4 out of 5 stars,18 May 2023
Lauren,SHOCKING CUSTOMER SERVICE!,"SHOCKING CUSTOMER SERVICE!I would give a 0 if I could......My partner and I booked a holiday yesterday (14th May) through the website, I received an email today (15th May) saying the booking had been cancelled!I called up the Customer Service team at Lastminute.com this evening, the lady advised that I can re-book over the phone, however, the price had gone up by £800 and she said there was nothing she could do. I explained it was not our fault and she said I should book again with her now before the price goes up even more. When I decided that I would rather look elsewhere and said that this was a really bad experience with Lastminute- she hung up on me!I have never left a negative review before, however I will NEVER use this company again. Shocking and appalling customer service and booking system!",Rated 1 out of 5 stars,15 May 2023
BTN,Great experience,We found suitable flights and a lovely lakeside hotel for a decent price. Making the booking was straightforward. Check-in process was explained clearly. No hiccups on the day. Great experience.,Rated 5 out of 5 stars,11 May 2023
timmy grainger,Lastminute Check in/Hotel Issues,"Napoli was great Lastminute/Ryanair not soo....Hotel was great when you could get in at night as they locked the place up..I had to stay in another hotel one night, the next I had to call manager to open hotel as it was locked again. Checking in on the way out worked like a charm with Jet2 but the Checking in on Ryanair refused to accept my flight and email... I drained phone trying to check in, my daughter thought it was me but she said its not working.. I ended up through no fault of my own being forced to pay 55 euros to fly home..I've contacted Lastminute who say I have to contact airline and hotel myself..Edit: I may or may not be getting Lastminute email?But they said they won't refund my euro55 as I must Check In, this was my reason for contacting Lastminute and not being able to Check In..Napoli was Great and my kids loved it too..",Rated 3 out of 5 stars,12 May 2023
